ID_NCBA_BLOCK,ID_BLOCK_CODE,STATUS,surveyYear,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABBOTTSBURG-SE,34078E6SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADVANCE-SE,35080H4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFTON-SE,36078C2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBEMARLE-SE,35080C2SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALARKA-SE,35083C4SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDERSON-SE,36079C3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
APEX-SE,35078F7SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASKIN-SE,35077B1SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLANTIC-SE,34076H3SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUADALE-SE,35080B2SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMMON-SE,34078G5SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBERTSON-SE,35077A7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGIER-SE,35078E6SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDERSON_CREEK-SE,35078C8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACME-SE,34078C2SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHOSKIE-SE,36076C8SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBEMARLE_SOUND_1_(ALL_WATER)-SE,36076A1SE,Incomplete,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBEMARLE_SOUND_2_(ALL_WATER)-SE,36075A8SE,Incomplete,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALTON-SE,36079E1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANDREWS-SE,35083B7SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
AURORA-SE,35076C7SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BADIN-SE,35080D1SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAKERSVILLE-SE,36082A2SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BATH-SE,35076D7SE,Complete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENSON-SE,35078D5SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARCO-SE,36075D8SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEARSKIN-SE,35078A4SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARSHVILLE-SE,34080H3SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEREA-SE,36078C6SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARLEY-SE,36077E6SE,Incomplete,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAT_CAVE-SE,35082D3SE,Complete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BISCOE-SE,35079C7SE,Incomplete,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLADENBORO-SE,34078E7SE,Incomplete,2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
