county,ecoregion,county_proper
BEAUFORT,coast,Beaufort
BERTIE,coast,Bertie
BLADEN,coast,Bladen
BRUNSWICK,coast,Brunswick
CAMDEN,coast,Camden
CARTERET,coast,Carteret
CHOWAN,coast,Chowan
COLUMBUS,coast,Columbus
CRAVEN,coast,Craven
CUMBERLAND,coast,Cumberland
CURRITUCK,coast,Currituck
DARE,coast,Dare
DUPLIN,coast,Duplin
GATES,coast,Gates
GREENE,coast,Greene
HARNETT,coast,Harnett
HERTFORD,coast,Hertford
HOKE,coast,Hoke
HYDE,coast,Hyde
JONES,coast,Jones
LENOIR,coast,Lenoir
MARTIN,coast,Martin
NEW HANOVER,coast,New Hanover
ONSLOW,coast,Onslow
PAMLICO,coast,Pamlico
PASQUOTANK,coast,Pasquotank
PENDER,coast,Pender
PERQUIMANS,coast,Perquimans
PITT,coast,Pitt
ROBESON,coast,Robeson
SAMPSON,coast,Sampson
SCOTLAND,coast,Scotland
TYRRELL,coast,Tyrrell
WASHINGTON,coast,Washington
ALEXANDER,mountains,Alexander
ALLEGHANY,mountains,Alleghany
ASHE,mountains,Ashe
AVERY,mountains,Avery
BUNCOMBE,mountains,Buncombe
BURKE,mountains,Burke
CALDWELL,mountains,Caldwell
CATAWBA,mountains,Catawba
CHEROKEE,mountains,Cherokee
CLAY,mountains,Clay
CLEVELAND,mountains,Cleveland
DAVIE,mountains,Davie
FORSYTH,mountains,Forsyth
GASTON,mountains,Gaston
GRAHAM,mountains,Graham
HAYWOOD,mountains,Haywood
HENDERSON,mountains,Henderson
IREDELL,mountains,Iredell
JACKSON,mountains,Jackson
LINCOLN,mountains,Lincoln
MACON,mountains,Macon
MADISON,mountains,Madison
MCDOWELL,mountains,Mcdowell
MITCHELL,mountains,Mitchell
POLK,mountains,Polk
RUTHERFORD,mountains,Rutherford
STOKES,mountains,Stokes
SURRY,mountains,Surry
SWAIN,mountains,Swain
TRANSYLVANIA,mountains,Transylvania
WATAUGA,mountains,Watauga
WILKES,mountains,Wilkes
YADKIN,mountains,Yadkin
YANCEY,mountains,Yancey
ALAMANCE,piedmont,Alamance
ANSON,piedmont,Anson
CABARRUS,piedmont,Cabarrus
CASWELL,piedmont,Caswell
CHATHAM,piedmont,Chatham
DAVIDSON,piedmont,Davidson
DURHAM,piedmont,Durham
EDGECOMBE,piedmont,Edgecombe
FRANKLIN,piedmont,Franklin
GRANVILLE,piedmont,Granville
GUILFORD,piedmont,Guilford
HALIFAX,piedmont,Halifax
JOHNSTON,piedmont,Johnston
LEE,piedmont,Lee
MECKLENBURG,piedmont,Mecklenburg
MONTGOMERY,piedmont,Montgomery
MOORE,piedmont,Moore
NASH,piedmont,Nash
NORTHAMPTON,piedmont,Northampton
ORANGE,piedmont,Orange
PERSON,piedmont,Person
RANDOLPH,piedmont,Randolph
RICHMOND,piedmont,Richmond
ROCKINGHAM,piedmont,Rockingham
ROWAN,piedmont,Rowan
STANLY,piedmont,Stanly
UNION,piedmont,Union
VANCE,piedmont,Vance
WAKE,piedmont,Wake
WARREN,piedmont,Warren
WAYNE,piedmont,Wayne
WILSON,piedmont,Wilson
