GLOBAL_UNIQUE_IDENTIFIER,LAST_EDITED_DATE,TAXONOMIC_ORDER,CATEGORY,TAXON_CONCEPT_ID,COMMON_NAME,SCIENTIFIC_NAME,SUBSPECIES_COMMON_NAME,SUBSPECIES_SCIENTIFIC_NAME,EXOTIC_CODE,OBSERVATION_COUNT,BREEDING_CODE,BREEDING_CATEGORY,BEHAVIOR_CODE,AGE/SEX,COUNTRY,COUNTRY_CODE,STATE,STATE_CODE,COUNTY,COUNTY_CODE,IBA_CODE,BCR_CODE,USFWS_CODE,ATLAS_BLOCK,LOCALITY,LOCALITY_ID,LOCALITY_TYPE,LATITUDE,LONGITUDE,OBSERVATION_DATE,TIME_OBSERVATIONS_STARTED,OBSERVER_ID,SAMPLING_EVENT_IDENTIFIER,PROTOCOL_TYPE,PROTOCOL_CODE,PROJECT_CODE,DURATION_MINUTES,EFFORT_DISTANCE_KM,EFFORT_AREA_HA,NUMBER_OBSERVERS,ALL_SPECIES_REPORTED,GROUP_IDENTIFIER,HAS_MEDIA,APPROVED,REVIEWED,REASON,TRIP_COMMENTS,SPECIES_COMMENTS
URN:CornellLabOfOrnithology:EBIRD:OBS1256403565,2021-10-12 12:26:30.347345,21168,species,avibase-69544B59,American Crow,Corvus brachyrhynchos,,,,4,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403556,2021-10-12 12:26:30.311041,28096,species,avibase-D77E4B41,American Robin,Turdus migratorius,,,,1,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403564,2021-10-12 12:26:30.346535,8187,species,avibase-FED3756C,Bald Eagle,Haliaeetus leucocephalus,,,,4,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403557,2021-10-12 12:26:30.323411,20899,species,avibase-1DA430B8,Blue Jay,Cyanocitta cristata,,,,5,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403558,2021-10-12 12:26:30.324397,27577,species,avibase-C8F9F2D0,Brown Thrasher,Toxostoma rufum,,,,3,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403566,2021-10-12 12:26:30.348163,324,species,avibase-B59E1863,Canada Goose,Branta canadensis,,,,130,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403550,2021-10-12 12:26:30.302241,21671,species,avibase-F941AAD3,Carolina Chickadee,Poecile carolinensis,,,,2,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403554,2021-10-12 12:26:30.309334,26897,species,avibase-CB5469E1,Carolina Wren,Thryothorus ludovicianus,,,,1,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403553,2021-10-12 12:26:30.305647,27662,species,avibase-A8347C7D,Eastern Bluebird,Sialia sialis,,,,2,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
URN:CornellLabOfOrnithology:EBIRD:OBS1256403560,2021-10-12 12:26:30.328077,33044,species,avibase-8CD66855,Eastern Meadowlark,Sturnella magna,,,,3,,,,,United States,US,North Carolina,US-NC,Pamlico,US-NC-137,,27,,35076C5SE,"34 Middle Prong Rd, Hobucken US-NC 35.29005, -76.55812",L16626005,P,35.2900480,-76.5581170,2021-10-12,10:01:00,obsr333452,S96031834,Traveling,P22,EBIRD_ATL_NC,52,1.828,,1,1,,0,1,0,,67 Overcast NNE 6,
