AOU60_id,AC_ID,AOU61_id,AOU59_id,AOU57_id,avibase id,AOU60_rank,WAP_Eval,SGCN,WAP_Know,WAP_Mgmt,FedStatus,StateStatus,NS_GLOBAL,NS_STATE,PIF_half_life,PIF_pop_est,Audubon_Priority,BCC,IUCN Red List 2016,Breeding,Wintering,aou60_common_name,aou60_french_name,AOU60_order,AOU60_family,AOU60_subfamily,AOU60_genus,AOU60_species,NC_Species,AOU60_SPEC4,AOU60_SPEC6,eBird_Code,AOU59_species,BONC20_scientific,NatureServe_Unique_ID,WAP15_ID,ITIS_TSN,WikiPage,NatureServe,BoNC_Common,BoNC_ID,AOU61_species,AOU61_common,USFWS_BCC_2021
1693,Melozone aberti,,,,2C9B6D9339F2F68C,species,0,,0,0,0,,,,  ,  ,0,,,,0,Abert's Towhee,Tohi d'Abert,Passeriformes,Passerellidae,,Melozone,Melozone aberti,,ABTO,MELABE,abetow,Melozone aberti,,,,,Abert's Towhee,,,,,,
392,Recurvirostra americana,,444,438,8EB0C1FABC1D725A,species,TRUE,TRUE,0,0,0,0,G5,85,  ,  ,0,TRUE,,0,TRUE,American Avocet,Avocette d'AmÃ©rique,Charadriiformes,Recurvirostridae,,Recurvirostra,Recurvirostra americana,NC,AMAV,RECAME,ameavo,Recurvirostra americana,Recurvirostra americana,ELEMENT_GLOBAL.2.100007,ncwap15-spp-american-avocet,,American Avocet,ELEMENT_GLOBAL.2.100007,American Avocet,238,,,80
941,Melanerpes formicivorus,,,,7E3273031F76242B,species,0,,0,0,0,,,,  ,  ,0,,,,0,Acorn Woodpecker,Pic glandivore,Piciformes,Picidae,Picinae,Melanerpes,Melanerpes formicivorus,,ACWO,MELFOR,acowoo,Melanerpes formicivorus,,,,,Acorn Woodpecker,,,,,,
1559,Setophaga adelaidae,,,,43F4D735B9378196,species,0,,0,0,0,,,,  ,  ,0,,LC        ,,0,Adelaide's Warbler,Paruline d'AdÃ©laÃ¯de,Passeriformes,Parulidae,,Setophaga,Setophaga adelaidae,,ADWA,SETADE,adewar1,,,,,,Adelaide's Warbler,,,,,,
548,Streptopelia roseogrisea,,,,273A4A2F793BFFA1,species,0,,0,0,0,,,,  ,  ,0,,0,,0,African Collared-Dove,Tourterelle rieuse,Columbiformes,Columbidae,,Streptopelia,Streptopelia roseogrisea,,AFCD,STRROS,afcdov1,,,,,,African Collared-Dove,,,,,,
11131,Euodice cantans,,,,FC6A9CD0979A6DE8,species,0,,0,0,0,,,,  ,  ,0,,,,0,African Silverbill,Capucin bec-d'argent,Passeriformes,Estrildidae,,Euodice,Euodice cantans,,AFSI,EUOCAN,afrsil1,,,,,,African Silverbill,,,,,,
240,Agamia agami,,,,86095930B3D839E1,species,0,,0,0,0,,,,  ,  ,0,,LC        ,,0,Agami Heron,HÃ©ron agami,Pelecaniformes,Ardeidae,,Agamia,Agamia agami,,AGHE,AGAAGA,agaher1,,,,,,Agami Heron,,,,,,
13541,Hydrobates cheimomnestes,,,,B57A7ED2ACE4C2DA,species,0,,0,0,0,,,,  ,  ,0,,LC        ,,0,Ainley's Storm-Petrel,OcÃ©anite dâ€™Ainley,Procellariiformes,Hydrobatidae,,Hydrobates,Hydrobates cheimomnestes,,AISP,HYDCHE,,,,,,,Ainley's Storm-Petrel,,,,,,
1898,Loxops caeruleirostris,,,,0F8900D1073D1CBC,species,0,,0,0,0,,,,  ,  ,0,,,,0,Akekee,Loxopse de Kauai,Passeriformes,Fringillidae,Carduelinae,Loxops,Loxops caeruleirostris,,AKEK,LOXCAE,akekee,,,,,,Akekee,,,,,,356
11811,Hemignathus wilsoni,,,,DDE78CC94AA12057,species,0,,0,0,0,,,,  ,  ,0,,,,0,Akiapolaau,Akiapolaau d'HawaÃ¯,Passeriformes,Fringillidae,Carduelinae,Hemignathus,Hemignathus wilsoni,,AKIA,HEMWIL,akiapo,,,,,,Akiapolaau,,,,,,345
1893,Oreomystis bairdi,,,,2CFFFB8AA04042DE,species,0,,0,0,0,,,,  ,  ,0,,,,0,Akikiki,Akikiki de Kauai,Passeriformes,Fringillidae,Carduelinae,Oreomystis,Oreomystis bairdi,,AKIK,OREBAI,akikik,,,,,,Akikiki,,,,,,322
1904,Palmeria dolei,,,,A643D860BF1B0820,species,0,,0,0,0,,,,  ,  ,0,,LC        ,,0,Akohekohe,PalmÃ©rie huppÃ©e,Passeriformes,Fringillidae,Carduelinae,Palmeria,Palmeria dolei,,AKOH,PALDOL,crehon,,,,,,Akohekohe,,,,,,333
1521,Anthus rubescens,,1678,1666,8F26868274C1EE0A,species,TRUE,,TRUE,0,0,0,G5,109,  ,  ,0,,,0,TRUE,American Pipit,Pipit d'AmÃ©rique,Passeriformes,Motacillidae,,Anthus,Anthus rubescens,NC,AMPI,ANTRUB,amepip,Anthus rubescens,Anthus rubescens,ELEMENT_GLOBAL.2.104166,ncwap15-spp-american-pipit,,American Pipit,ELEMENT_GLOBAL.2.104166,American Pipit,427,,,
489,Onychoprion aleuticus,,,,BEE4F34A70214978,species,0,,0,0,0,,,,  ,  ,0,,LC        ,,0,Aleutian Tern,Sterne des AlÃ©outiennes,Charadriiformes,Laridae,Sterninae,Onychoprion,Onychoprion aleuticus,,ALTE,ONYALE,aleter1,Onychoprion aleuticus,,,,,Aleutian Tern,,,,,,139
875,Selasphorus sasin,,,,C25794D595D7B943,species,0,,0,0,0,,,,  ,  ,0,,,,0,Allen's Hummingbird,Colibri d'Allen,Apodiformes,Trochilidae,Trochilinae,Selasphorus,Selasphorus sasin,NC,ALHU,SELSAS,allhum,Selasphorus sasin,Selasphorus sasin,,,,Allen's Hummingbird,,,,,,56
754,Apus melba,,,,FA1CAD2906F7C845,species,0,,0,0,0,,,,  ,  ,0,,,,0,Alpine Swift,Martinet Ã  ventre blanc,Apodiformes,Apodidae,Apodinae,Apus,Apus melba,,ALSW,APUMEL,alpswi1,,,,,,Alpine Swift,,,,,,
1815,Icterus gularis,,,,1F87083D37D1C0C0,species,0,,0,0,0,,,,  ,  ,0,,,,0,Altamira Oriole,Oriole Ã  gros bec,Passeriformes,Icteridae,Icterinae,Icterus,Icterus gularis,,ALOR,ICTGUL,altori,Icterus gularis,,,,,Altamira Oriole,,,,,,
1589,Geothlypis flavovelata,,,,AF83062668018E79,species,0,,0,0,0,,,,  ,  ,0,,,,0,Altamira Yellowthroat,Paruline Ã  couronne jaune,Passeriformes,Parulidae,,Geothlypis,Geothlypis flavovelata,,ALYE,GEOFLA,altyel1,,,,,,Altamira Yellowthroat,,,,,,
1439,Myadestes woahensis,,,,09CC6AEAADAECC77,species,0,,0,0,0,,,,  ,  ,0,,LC        ,,0,Amaui,Solitaire d'Oahu,Passeriformes,Turdidae,,Myadestes,Myadestes woahensis,,AMAU,MYAWOA,amaui,,,,,,Amaui,,,,,,296
913,Chloroceryle amazona,,,,331DC00B72FD8419,species,0,,0,0,0,,,,  ,  ,0,,LC        ,,0,Amazon Kingfisher,Martin-pÃªcheur d'Amazonie,Coraciiformes,Alcedinidae,Cerylinae,Chloroceryle,Chloroceryle amazona,,AMKI,CHLAMA,amakin1,,,,,,Amazon Kingfisher,,,,,,
12821,Mareca americana,,44,37,D201EB7230F20770,species,TRUE,,0,TRUE,0,0,G5,113,  ,  ,0,,LC        ,0,TRUE,American Wigeon,Canard d'AmÃ©rique,Anseriformes,Anatidae,Anatinae,Mareca,Mareca americana,NC,AMWI,MARAME,amewig,Mareca americana,Mareca americana,ELEMENT_GLOBAL.2.104824,ncwap15-spp-american-wigeon,,American Wigeon,ELEMENT_GLOBAL.2.104824,American Wigeon,173,,,
1568,Setophaga castanea,,1990,1808,10C601D3BCC5A85C,species,TRUE,,TRUE,0,0,0,G5,85,  ,  ,0,TRUE,LC        ,0,TRUE,Bay-breasted Warbler,Paruline Ã  poitrine baie,Passeriformes,Parulidae,,Setophaga,Setophaga castanea,NC,BBWA,SETCAS,babwar,Setophaga castanea,Setophaga castanea,ELEMENT_GLOBAL.2.105277,ncwap15-spp-bay-breasted-warbler,,Bay-breasted Warbler,ELEMENT_GLOBAL.2.105277,Bay-breasted Warbler,466,,,414
65,Melanitta americana,,70,67,B7B1A5DD94724A05,species,TRUE,,0,TRUE,0,0,G5,85,  ,  ,0,,LC        ,0,TRUE,Black Scoter,Macreuse Ã  bec jaune,Anseriformes,Anatidae,Anatinae,Melanitta,Melanitta americana,NC,BLSC,MELAME,blksco2,Melanitta americana,Melanitta americana,ELEMENT_GLOBAL.2.866837,ncwap15-spp-black-scoter,,Black Scoter,ELEMENT_GLOBAL.2.866837,Black Scoter,183,,,
371,Pluvialis squatarola,,450,444,27903EF7E618A6A2,species,TRUE,TRUE,TRUE,TRUE,0,0,G5,113,  ,  ,0,,,0,TRUE,Black-bellied Plover,Pluvier argentÃ©,Charadriiformes,Charadriidae,Charadriinae,Pluvialis,Pluvialis squatarola,NC,BBPL,PLUSQU,bkbplo,Pluvialis squatarola,Pluvialis squatarola,ELEMENT_GLOBAL.2.102793,ncwap15-spp-black-bellied-plover,,Black-bellied Plover,ELEMENT_GLOBAL.2.102793,Black-bellied Plover,229,,,
1399,Cinclus mexicanus,,,,A5EC8BF53E504B0A,species,0,,0,0,0,,,,  ,  ,0,,,,0,American Dipper,Cincle d'AmÃ©rique,Passeriformes,Cinclidae,,Cinclus,Cinclus mexicanus,,AMDI,CINMEX,amedip,Cinclus mexicanus,,,,,American Dipper,,,,,,284
254,Phoenicopterus ruber,,,,E3FF6313179EC968,species,0,,0,0,0,,,,  ,  ,0,,LC        ,,0,American Flamingo,Flamant des CaraÃ¯bes,Phoenicopteriformes,Phoenicopteridae,,Phoenicopterus,Phoenicopterus ruber,,AMFL,PHORUB,grefla2,Phoenicopterus ruber,,,,,American Flamingo,,,,,,
12751,Spatula discors,,38,44,90E2543E9A4ABA0A,species,TRUE,,0,TRUE,0,0,G5,109,  ,  ,0,,LC        ,0,TRUE,Blue-winged Teal,Sarcelle Ã  ailes bleues,Anseriformes,Anatidae,Anatinae,Spatula,Spatula discors,NC,BWTE,SPADIS,buwtea,Spatula discors,Spatula discors,ELEMENT_GLOBAL.2.106246,ncwap15-spp-blue-winged-teal,,Blue-winged Teal,ELEMENT_GLOBAL.2.106246,Blue-winged Teal,168,,,
1993,Chroicocephalus philadelphia,,570,563,0337440E2A88E638,species,TRUE,,0,0,0,0,G5,109,  ,  ,0,,LC        ,0,TRUE,Bonaparte's Gull,Mouette de Bonaparte,Charadriiformes,Laridae,Larinae,Chroicocephalus,Chroicocephalus philadelphia,NC,BOGU,CHRPHI,bongul,Chroicocephalus philadelphia,Chroicocephalus philadelphia,ELEMENT_GLOBAL.2.106311,ncwap15-spp-bonapartes-gull,,Bonaparte's Gull,ELEMENT_GLOBAL.2.106311,Bonaparte's Gull,285,,,
19,Branta bernicla,,20,20,3E04020B54C14FCC,species,TRUE,TRUE,0,TRUE,0,0,G5,37,  ,  ,0,TRUE,LC        ,0,TRUE,Brant,Bernache cravant,Anseriformes,Anatidae,Anserinae,Branta,Branta bernicla,NC,BRAN,BRABER,brant,Branta bernicla,Branta bernicla,ELEMENT_GLOBAL.2.103759,ncwap15-spp-brant,,Brant,ELEMENT_GLOBAL.2.103759,Brant,160,,,3
67,Bucephala albeola,,72,69,FB7383856D0DB2EA,species,TRUE,,0,TRUE,0,0,G5,109,  ,  ,0,,LC        ,0,TRUE,Bufflehead,Petit Garrot,Anseriformes,Anatidae,Anatinae,Bucephala,Bucephala albeola,NC,BUFF,BUCALB,buffle,Bucephala albeola,Bucephala albeola,ELEMENT_GLOBAL.2.104714,ncwap15-spp-bufflehead,,Bufflehead,ELEMENT_GLOBAL.2.104714,Bufflehead,188,,,
916,Chloroceryle aenea,,,,A08C5C0687704F82,species,0,,0,0,0,,,,  ,  ,0,,,,0,American Pygmy Kingfisher,Martin-pÃªcheur nain,Coraciiformes,Alcedinidae,Cerylinae,Chloroceryle,Chloroceryle aenea,,APKI,CHLAEN,ampkin1,,,,,,American Pygmy Kingfisher,,,,,,
50,Aythya valisineria,,54,52,1929E1E16E073570,species,TRUE,TRUE,0,TRUE,0,0,G5,109,  ,  ,0,,,0,TRUE,Canvasback,Fuligule Ã  dos blanc,Anseriformes,Anatidae,Anatinae,Aythya,Aythya valisineria,NC,CANV,AYTVAL,canvas,Aythya valisineria,Aythya valisineria,ELEMENT_GLOBAL.2.105229,ncwap15-spp-canvasback,,Canvasback,ELEMENT_GLOBAL.2.105229,Canvasback,174,,,
1548,Setophaga tigrina,,1985,1803,DB20CB6B0A720B90,species,TRUE,,TRUE,0,0,0,G5,85,  ,  ,0,TRUE,,0,TRUE,Cape May Warbler,Paruline tigrÃ©e,Passeriformes,Parulidae,,Setophaga,Setophaga tigrina,NC,CMWA,SETTIG,camwar,Setophaga tigrina,Setophaga tigrina,ELEMENT_GLOBAL.2.102913,ncwap15-spp-cape-may-warbler,,Cape May Warbler,ELEMENT_GLOBAL.2.102913,Cape May Warbler,453,,,412
969,Picoides dorsalis,,,,6D2680D04CEB17B9,species,0,,0,0,0,,,,  ,  ,0,,,,0,American Three-toed Woodpecker,Pic Ã  dos rayÃ©,Piciformes,Picidae,Picinae,Picoides,Picoides dorsalis,,ATTW,PICDOR,attwoo1,Picoides dorsalis,,,,,American Three-toed Woodpecker,,,,,,
