ebd_key,AOU60_id,AOU61_id,AOU59_id,AOU57_id,avibase id,AOU60_rank,WAP_Eval,SGCN,WAP_Know,WAP_Mgmt,FedStatus,StateStatus,NS_GLOBAL,NS_STATE, PIF Assess Half Life , Bird Loss Pop Size Est ,Audubon_Priority,BCC,IUCN Red List 2016,Breeding,Wintering,aou60_common_name,aou60_french_name,AOU60_order,AOU60_family,AOU60_subfamily,AOU60_genus,AOU60_species,NC_Species,AOU60_SPEC4,AOU60_SPEC6,eBird_Code,AOU59_species,BONC20_scientific,NatureServe_Unique_ID,WAP15_ID,ITIS_TSN,WikiPage,NatureServe,BoNC_Common,BoNC_ID,AOU61_species,AOU61_common,USFWS_BCC_2021
Empidonax virescens,1139,,1303,1215,2778A3F42BBFEBD5,species,,,,,,,,,  ,  ,,,,,,Acadian Flycatcher,Moucherolle vert,Passeriformes,Tyrannidae,Fluvicolinae,Empidonax,Empidonax virescens,NC,ACFL,EMPVIR,acafly,Empidonax virescens,Empidonax virescens,ELEMENT_GLOBAL.2.103712,ncwap15-spp-acadian-flycatcher,,Acadian Flycatcher,ELEMENT_GLOBAL.2.103712,Acadian Flycatcher,367,,,
Empidonax alnorum,1140,,1304,1216,338088120A17D3EA,species,,,,,,,,,  ,  ,,,,,,Alder Flycatcher,Moucherolle des aulnes,Passeriformes,Tyrannidae,Fluvicolinae,Empidonax,Empidonax alnorum,NC,ALFL,EMPALN,aldfly,Empidonax alnorum,Empidonax alnorum,ELEMENT_GLOBAL.2.104821,ncwap15-spp-alder-flycatcher,,Alder Flycatcher,ELEMENT_GLOBAL.2.104821,Alder Flycatcher,368,,,
Selasphorus sasin,875,,,,C25794D595D7B943,species,,,,,,,,,  ,  ,,,,,,Allen's Hummingbird,Colibri d'Allen,Apodiformes,Trochilidae,Trochilinae,Selasphorus,Selasphorus sasin,NC,ALHU,SELSAS,allhum,Selasphorus sasin,Selasphorus sasin,,,,Allen's Hummingbird,,,,,,56
Recurvirostra americana,392,,444,438,8EB0C1FABC1D725A,species,,,,,,,,,  ,  ,,,,,,American Avocet,Avocette d'AmÃ©rique,Charadriiformes,Recurvirostridae,,Recurvirostra,Recurvirostra americana,NC,AMAV,RECAME,ameavo,Recurvirostra americana,Recurvirostra americana,ELEMENT_GLOBAL.2.100007,ncwap15-spp-american-avocet,,American Avocet,ELEMENT_GLOBAL.2.100007,American Avocet,238,,,80
Botaurus lentiginosus,218,,727,720,13E9F9B48CD5A08A,species,,,,,,,,,  ,  ,,,,,,American Bittern,Butor d'AmÃ©rique,Pelecaniformes,Ardeidae,,Botaurus,Botaurus lentiginosus,NC,AMBI,BOTLEN,amebit,Botaurus lentiginosus,Botaurus lentiginosus,ELEMENT_GLOBAL.2.103409,ncwap15-spp-american-bittern,,American Bittern,ELEMENT_GLOBAL.2.103409,American Bittern,134,,,
Anas rubripes,36,,49,38,C732CB106EE8BAE8,species,,,,,,,,,  ,  ,,,,,,American Black Duck,Canard noir,Anseriformes,Anatidae,Anatinae,Anas,Anas rubripes,NC,ABDU,ANARUB,ambduc,Anas rubripes,Anas rubripes,ELEMENT_GLOBAL.2.102967,ncwap15-spp-american-black-duck,,American Black Duck,ELEMENT_GLOBAL.2.102967,American Black Duck,164,,,
Fulica americana,360,,435,429,361EA10C79791B9F,species,,,,,,,,,  ,  ,,,,,,American Coot,Foulque d'AmÃ©rique,Gruiformes,Rallidae,,Fulica,Fulica americana,NC,AMCO,FULAME,y00475,Fulica americana,Fulica americana,ELEMENT_GLOBAL.2.103406,ncwap15-spp-american-coot,,American Coot,ELEMENT_GLOBAL.2.103406,American Coot,225,,,
Corvus brachyrhynchos,1296,,1395,1386,9E9F24769B6ACBE3,species,,,,,,,,,  ,  ,,,,,,American Crow,Corneille d'AmÃ©rique,Passeriformes,Corvidae,,Corvus,Corvus brachyrhynchos,NC,AMCR,CORBRA,amecro,Corvus brachyrhynchos,Corvus brachyrhynchos,ELEMENT_GLOBAL.2.104686,ncwap15-spp-american-crow,,American Crow,ELEMENT_GLOBAL.2.104686,American Crow,391,,,
Pluvialis dominica,373,,,,2143A8526CA7C809,species,,,,,,,,,  ,  ,,,,,,American Golden-Plover,Pluvier bronzÃ©,Charadriiformes,Charadriidae,Charadriinae,Pluvialis,Pluvialis dominica,NC,AMGP,PLUDOM,amgplo,Pluvialis dominica,Pluvialis dominica,ELEMENT_GLOBAL.2.100680,,,American Golden-Plover,ELEMENT_GLOBAL.2.100680,American Golden-Plover,230,,,83
Spinus tristis,1868,,1771,1750,C9ABA616B963B563,species,,,,,,,,,  ,  ,,,,,,American Goldfinch,Chardonneret jaune,Passeriformes,Fringillidae,Carduelinae,Spinus,Spinus tristis,NC,AMGO,SPITRI,amegfi,Spinus tristis,Spinus tristis,,ncwap15-spp-american-goldfinch,,American Goldfinch,ELEMENT_GLOBAL.2.105854,American Goldfinch,551,,,
Falco sparverius,323,,998,991,20C2214E655A79AB,species,,,,,,,,,  ,  ,,,,,,American Kestrel,CrÃ©cerelle d'AmÃ©rique,Falconiformes,Falconidae,Falconinae,Falco,Falco sparverius,NC,AMKE,FALSPA,amekes,Falco sparverius,Falco sparverius,ELEMENT_GLOBAL.2.101079,ncwap15-spp-american-kestrel,,American Kestrel,ELEMENT_GLOBAL.2.101079,American Kestrel,209,,,
Haematopus palliatus,388,,446,440,981CE782575DD8E7,species,,,,,,,,,  ,  ,,,,,,American Oystercatcher,HuÃ®trier d'AmÃ©rique,Charadriiformes,Haematopodidae,,Haematopus,Haematopus palliatus,NC,AMOY,HAEPAL,ameoys,Haematopus palliatus,Haematopus palliatus,ELEMENT_GLOBAL.2.102614,ncwap15-spp-american-oystercatcher,,American Oystercatcher,ELEMENT_GLOBAL.2.102614,American Oystercatcher,236,,,81
Anthus rubescens,1521,,1678,1666,8F26868274C1EE0A,species,,,,,,,,,  ,  ,,,,,,American Pipit,Pipit d'AmÃ©rique,Passeriformes,Motacillidae,,Anthus,Anthus rubescens,NC,AMPI,ANTRUB,amepip,Anthus rubescens,Anthus rubescens,ELEMENT_GLOBAL.2.104166,ncwap15-spp-american-pipit,,American Pipit,ELEMENT_GLOBAL.2.104166,American Pipit,427,,,
Setophaga ruticilla,1576,,1983,1801,BED38F505F0B8509,species,,,,,,,,,  ,  ,,,,,,American Redstart,Paruline flamboyante,Passeriformes,Parulidae,,Setophaga,Setophaga ruticilla,NC,AMRE,SETRUT,amered,Setophaga ruticilla,Setophaga ruticilla,ELEMENT_GLOBAL.2.101347,ncwap15-spp-american-redstart,,American Redstart,ELEMENT_GLOBAL.2.101347,American Redstart,470,,,
Turdus migratorius,1472,,1603,1590,D77E4B418D581FB2,species,,,,,,,,,  ,  ,,,,,,American Robin,Merle d'AmÃ©rique,Passeriformes,Turdidae,,Turdus,Turdus migratorius,NC,AMRO,TURMIG,amerob,Turdus migratorius,Turdus migratorius,ELEMENT_GLOBAL.2.102179,ncwap15-spp-american-robin,,American Robin,ELEMENT_GLOBAL.2.102179,American Robin,421,,,
Spizelloides arborea,1704,,,,2A86F9C93636CDA3,species,,,,,,,,,  ,  ,,,,,,American Tree Sparrow,Bruant hudsonien,Passeriformes,Passerellidae,,Spizelloides,Spizelloides arborea,NC,ATSP,SPIARB,amtspa,Spizelloides arborea,Spizelloides arborea,ELEMENT_GLOBAL.2.105457,,,American Tree Sparrow,ELEMENT_GLOBAL.2.105457,American Tree Sparrow,501,,,
Pelecanus erythrorhynchos,205,,,,866903B93D70056B,species,,,,,,,,,  ,  ,,,,,,American White Pelican,PÃ©lican d'AmÃ©rique,Pelecaniformes,Pelecanidae,,Pelecanus,Pelecanus erythrorhynchos,NC,AWPE,PELERY,amwpel,Pelecanus erythrorhynchos,Pelecanus erythrorhynchos,ELEMENT_GLOBAL.2.102798,,,American White Pelican,ELEMENT_GLOBAL.2.102798,American White Pelican,128,,,188
Mareca americana,12821,,44,37,D201EB7230F20770,species,,,,,,,,,  ,  ,,,,,,American Wigeon,Canard d'AmÃ©rique,Anseriformes,Anatidae,Anatinae,Mareca,Mareca americana,NC,AMWI,MARAME,amewig,Mareca americana,Mareca americana,ELEMENT_GLOBAL.2.104824,ncwap15-spp-american-wigeon,,American Wigeon,ELEMENT_GLOBAL.2.104824,American Wigeon,173,,,
Scolopax minor,456,,512,509,F4829920F1710E56,species,,,,,,,,,  ,  ,,,,,,American Woodcock,BÃ©casse d'AmÃ©rique,Charadriiformes,Scolopacidae,Scolopacinae,Scolopax,Scolopax minor,NC,AMWO,SCOMIN,amewoo,Scolopax minor,Scolopax minor,ELEMENT_GLOBAL.2.105226,ncwap15-spp-american-woodcock,,American Woodcock,ELEMENT_GLOBAL.2.105226,American Woodcock,272,,,112
Anhinga anhinga,213,,723,716,FBDAE86A5CF7B698,species,,,,,,,,,  ,  ,,,,,,Anhinga,Anhinga d'AmÃ©rique,Suliformes,Anhingidae,,Anhinga,Anhinga anhinga,NC,ANHI,ANHANH,anhing,Anhinga anhinga,Anhinga anhinga,ELEMENT_GLOBAL.2.100210,ncwap15-spp-anhinga,,Anhinga,ELEMENT_GLOBAL.2.100210,Anhinga,132,,,
Calypte anna,868,,,,423937213450C257,species,,,,,,,,,  ,  ,,,,,,Anna's Hummingbird,Colibri d'Anna,Apodiformes,Trochilidae,Trochilinae,Calypte,Calypte anna,NC,ANHU,CALANN,annhum,Calypte anna,Calypte anna,,,,Anna's Hummingbird,,,,,,
Chordeiles gundlachii,710,,,,E025D44042EE90C5,species,,,,,,,,,  ,  ,,,,,,Antillean Nighthawk,Engoulevent piramidig,Caprimulgiformes,Caprimulgidae,Chordeilinae,Chordeiles,Chordeiles gundlachii,NC,ANNI,CHOGUN,antnig,Chordeiles gundlachii,Chordeiles gundlachii,,,,Antillean Nighthawk,,Antillean Nighthawk,344,,,
Sterna paradisaea,502,,,,BDC5CF80BE6CFC21,species,,,,,,,,,  ,  ,,,,,,Arctic Tern,Sterne arctique,Charadriiformes,Laridae,Sterninae,Sterna,Sterna paradisaea,NC,ARTE,STEPAD,arcter,Sterna paradisaea,Sterna paradisaea,ELEMENT_GLOBAL.2.101556,,,Arctic Tern,ELEMENT_GLOBAL.2.101556,Arctic Tern,304,,,
