Common Name,Scientific Name,Species Group (Broad),Species Group (Fine),NatureServe Rounded Global Rank,U.S. Endangered Species Act Status,COSEWIC Status,SARA Status,Country: States / Provinces,NatureServeUniqueIdentifier,NatureServeElementCode,Sciname_underscore,Sciname,WAP15_ID,NC,NS_STATUS_NC
Acadian Flycatcher,Empidonax virescens,Vertebrates,Birds,G5,,Endangered,Endangered/En voie de disparition,"US: AL, AR, CT, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, WI, WV
CA: ON",ELEMENT_GLOBAL.2.103712,ABPAE33020,Empidonax_virescens,Empidonax virescens,,77,S5B
Alder Flycatcher,Empidonax alnorum,Vertebrates,Birds,G5,,,,"US: AK, AL, AR, CO, CT, DC, DE, FL, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, VT, WI, WV
CA: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT",ELEMENT_GLOBAL.2.104821,ABPAE33030,Empidonax_alnorum,Empidonax alnorum,,97,S2B
American Avocet,Recurvirostra americana,Vertebrates,Birds,G5,,,,"US: AL, AR, AZ, CA, CO, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MD, MI, MO, MS, MT, NC, ND, NE, NM, NN, NV, OH, OK, OR, SC, SD, TN, TX, UT, VA, WA, WY
CA: AB, BC, MB, NT, ON, SK",ELEMENT_GLOBAL.2.100007,ABNND02010,Recurvirostra_americana,Recurvirostra americana,,85,S1N
American Bittern,Botaurus lentiginosus,Vertebrates,Birds,G5,,,,"US: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK",ELEMENT_GLOBAL.2.103409,ABNGA01020,Botaurus_lentiginosus,Botaurus lentiginosus,,109,"S1B,S3N"
American Black Duck,Anas rubripes,Vertebrates,Birds,G5,,,,"US: AL, AR, CO, CT, DC, DE, FL, GA, IA, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NY, OH, OK, PA, RI, SC, SD, TN, TX, VA, VT, WA, WI, WV
CA: BC, LB, MB, NB, NF, NS, NU, ON, PE, QC, SK",ELEMENT_GLOBAL.2.102967,ABNJB10040,Anas_rubripes,Anas rubripes,,85,"S3B,S4N"
American Coot,Fulica americana,Vertebrates,Birds,G5,,Not at Risk,,"US: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT",ELEMENT_GLOBAL.2.103406,ABNME14020,Fulica_americana,Fulica americana,,109,S5N
American Crow,Corvus brachyrhynchos,Vertebrates,Birds,G5,,,,"US: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT",ELEMENT_GLOBAL.2.104686,ABPAV10170,Corvus_brachyrhynchos,Corvus brachyrhynchos,,109,"S5B,S5N"
American Golden-Plover,Pluvialis dominica,Vertebrates,Birds,G5,,,,"US: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, LB, MB, NB, NF, NS, NT, NU, ON, PE, QC, SK, YT",ELEMENT_GLOBAL.2.100680,,Pluvialis_dominica,Pluvialis dominica,,113,
American Goldfinch,Spinus tristis,Vertebrates,Birds,G5,,,,"US: AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, LB, MB, NB, NF, NS, ON, PE, QC, SK",ELEMENT_GLOBAL.2.105854,,Spinus_tristis,Spinus tristis,,105,
American Kestrel,Falco sparverius,Vertebrates,Birds,G5,,,,"US: AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NN, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY
CA: AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT",ELEMENT_GLOBAL.2.101079,ABNKD06020,Falco_sparverius,Falco sparverius,,109,"S2B,S5N"
