AC_ID,TAXONOMIC_ORDER,TAXONOMIC_FAMILY,TAXONOMIC_SUBFAMILY,TAXONOMIC_GENUS,TAXONOMIC_SPECIES,SCIENTIFIC_NAME,ENGLISH_NAME,TAXONOMIC_ORDER2,MBTA,BCC,FedStatus
Acanthis flammea,PASSERIFORMES,FRINGILLIDAE,CARDUELINAE,Acanthis,flammea,Acanthis flammea,Common Redpoll,923,1,0,
Acanthis hornemanni,PASSERIFORMES,FRINGILLIDAE,CARDUELINAE,Acanthis,hornemanni,Acanthis hornemanni,Hoary Redpoll,924,1,0,
Accipiter cooperii,ACCIPITRIFORMES,ACCIPITRIDAE,ACCIPITRINAE,Accipiter,cooperii,Accipiter cooperii,Cooper's Hawk,521,1,0,
Accipiter gentilis,ACCIPITRIFORMES,ACCIPITRIDAE,ACCIPITRINAE,Accipiter,gentilis,Accipiter gentilis,Northern Goshawk,522,1,0,
Accipiter gularis,ACCIPITRIFORMES,ACCIPITRIDAE,ACCIPITRINAE,Accipiter,gularis,Accipiter gularis,Japanese Sparrowhawk,519,1,0,
Accipiter soloensis,ACCIPITRIFORMES,ACCIPITRIDAE,ACCIPITRINAE,Accipiter,soloensis,Accipiter soloensis,Chinese Sparrowhawk,518,1,0,
Accipiter striatus,ACCIPITRIFORMES,ACCIPITRIDAE,ACCIPITRINAE,Accipiter,striatus,Accipiter striatus,Sharp-shinned Hawk,520,1,0,
Acrocephalus dumetorum,PASSERIFORMES,ACROCEPHALIDAE,,Acrocephalus,dumetorum,Acrocephalus dumetorum,Blyth's Reed Warbler,741,1,0,
Acrocephalus familiaris,PASSERIFORMES,ACROCEPHALIDAE,,Acrocephalus,familiaris,Acrocephalus familiaris,Millerbird,739,1,0,
Acrocephalus hiwae,PASSERIFORMES,ACROCEPHALIDAE,,Acrocephalus,hiwae,Acrocephalus hiwae,Saipan Reed warbler,736,1,0,
