AC_ID,Species_EnglishName,Species_ScientificName,Alert_Level,Alert_Number,Designations,Alpha_Code_6,Note,US_STATUS,CANADA_STATUS
Alle alle,Dovekie,Alle alle,Orange,2,,ALLALL,,,
Ammospiza leconteii,LeConte's Sparrow,Ammospiza leconteii,Orange,2,,AMMLEC,,,
Anthus spragueii,Sprague's Pipit,Anthus spragueii,Orange,2,SARA,ANTSPR,,,
Arenaria interpres,Ruddy Turnstone,Arenaria interpres,Orange,2,,AREINT,,,
Calidris alba,Sanderling,Calidris alba,Orange,2,,CALALB,,,
Calidris canutus,Red Knot,Calidris canutus,Orange,2,"ESA, SARA",CALCAN,,ESA,SARA
Calidris himantopus,Stilt Sandpiper,Calidris himantopus,Orange,2,,CALHIM,,,
Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,Orange,2,,CALMET,,,
Calidris pusilla,Semipalmated Sandpiper,Calidris pusilla,Orange,2,,CALPUS,,,
Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,Orange,2,SARA,CALSUR,,,
Cardinalis sinuatus,Pyrrhuloxia,Cardinalis sinuatus,Orange,2,,CARSIN,,,
Charadrius melodus,Piping Plover,Charadrius melodus,Orange,2,"ESA, SARA",CHAMEL,,ESA,SARA
Chaetura pelagica,Chimney Swift,Chaetura pelagica,Orange,2,SARA,CHAPEL,,,
Clangula hyemalis,Long-tailed Duck,Clangula hyemalis,Orange,2,,CLAHYE,,,
Coccothraustes vespertinus,Evening Grosbeak,Coccothraustes vespertinus,Orange,2,SARA,COCVES,,,
Cypseloides niger,Black Swift,Cypseloides niger,Orange,2,SARA,CYPNIG,,,
Dolichonyx oryzivorus,Bobolink,Dolichonyx oryzivorus,Orange,2,SARA,DOLORY,,,
Grus americana,Whooping Crane,Grus americana,Orange,2,,GRUAME,"Poorly Monitored species, for which urgency is assessed through expert-assigned vulnerability scores.",,
Gymnogyps californianus,California Condor,Gymnogyps californianus,Orange,2,,GYMCAL,,,
#N/A,Short-billed Gull,Larus brachyrhynchus,Orange,2,,LARBRA,,,
Larus hyperboreus,Glaucous Gull,Larus hyperboreus,Orange,2,,LARHYP,,,
Larus marinus,Great Black-backed Gull,Larus marinus,Orange,2,,LARMAR,,,
Larus occidentalis,Western Gull,Larus occidentalis,Orange,2,,LAROCC,,,
Limnodromus griseus,Short-billed Dowitcher,Limnodromus griseus,Orange,2,,LIMGRI,,,
