AC_ID,id,rank,common_name,french_name,order,family,subfamily,genus,species,annotation,status_accidental,status_hawaiian,status_introduced,status_nonbreeding,status_extinct,status_misplaced
Nothocercus bonapartei,2,species,Highland Tinamou,Tinamou de Bonaparte,Tinamiformes,Tinamidae,,Nothocercus,Nothocercus bonapartei,,,,,,,
Tinamus major,1,species,Great Tinamou,Grand Tinamou,Tinamiformes,Tinamidae,,Tinamus,Tinamus major,,,,,,,
Crypturellus soui,3,species,Little Tinamou,Tinamou soui,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus soui,,,,,,,
Crypturellus cinnamomeus,4,species,Thicket Tinamou,Tinamou cannelle,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus cinnamomeus,,,,,,,
Crypturellus boucardi,5,species,Slaty-breasted Tinamou,Tinamou de Boucard,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus boucardi,,,,,,,
Crypturellus kerriae,6,species,Choco Tinamou,Tinamou de Kerr,Tinamiformes,Tinamidae,,Crypturellus,Crypturellus kerriae,Monotypic.,,,,,,
Dendrocygna viduata,7,species,White-faced Whistling-Duck,Dendrocygne veuf,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna viduata,Monotypic.,,,,,,
Dendrocygna autumnalis,8,species,Black-bellied Whistling-Duck,Dendrocygne à ventre noir,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna autumnalis,,,,,,,
Dendrocygna arborea,9,species,West Indian Whistling-Duck,Dendrocygne des Antilles,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna arborea,Monotypic.,,,,,,
Dendrocygna bicolor,10,species,Fulvous Whistling-Duck,Dendrocygne fauve,Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,Dendrocygna bicolor,Monotypic.,,,,,,
Anser canagicus,12681,species,Emperor Goose,Oie empereur,Anseriformes,Anatidae,Anserinae,Anser,Anser canagicus,Monotypic. Formerly placed in the genus Chen.,,,,,,
Anser caerulescens,12691,species,Snow Goose,Oie des neiges,Anseriformes,Anatidae,Anserinae,Anser,Anser caerulescens,Formerly placed in the genus Chen.,,,,,,
Anser rossii,12701,species,Ross's Goose,Oie de Ross,Anseriformes,Anatidae,Anserinae,Anser,Anser rossii,Formerly placed in the genus Chen.,,,,,,
Anser anser,2049,species,Graylag Goose,Oie cendrée,Anseriformes,Anatidae,Anserinae,Anser,Anser anser,,A,,,,,
Anser albifrons,14,species,Greater White-fronted Goose,Oie rieuse,Anseriformes,Anatidae,Anserinae,Anser,Anser albifrons,,,,,,,
Anser erythropus,15,species,Lesser White-fronted Goose,Oie naine,Anseriformes,Anatidae,Anserinae,Anser,Anser erythropus,Monotypic.,A,,,,,
Anser fabalis,11,species,Taiga Bean-Goose,Oie des moissons,Anseriformes,Anatidae,Anserinae,Anser,Anser fabalis,,A,,,,,
Anser serrirostris,12,species,Tundra Bean-Goose,Oie de la toundra,Anseriformes,Anatidae,Anserinae,Anser,Anser serrirostris,,A,,,,,
Anser brachyrhynchus,13,species,Pink-footed Goose,Oie à bec court,Anseriformes,Anatidae,Anserinae,Anser,Anser brachyrhynchus,Monotypic. Considered subspecies of A. fabalis by Peters (1979).,,,,,,
Branta bernicla,19,species,Brant,Bernache cravant,Anseriformes,Anatidae,Anserinae,Branta,Branta bernicla,,,,,,,
Branta leucopsis,20,species,Barnacle Goose,Bernache nonnette,Anseriformes,Anatidae,Anserinae,Branta,Branta leucopsis,Monotypic.,,,,,,
Branta hutchinsii,21,species,Cackling Goose,Bernache de Hutchins,Anseriformes,Anatidae,Anserinae,Branta,Branta hutchinsii,,,,,,,
Branta canadensis,22,species,Canada Goose,Bernache du Canada,Anseriformes,Anatidae,Anserinae,Branta,Branta canadensis,,,,,,,
Branta sandvicensis,23,species,Hawaiian Goose,Bernache néné,Anseriformes,Anatidae,Anserinae,Branta,Branta sandvicensis,Monotypic.,,H,,,,
Cygnus olor,24,species,Mute Swan,Cygne tuberculé,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus olor,Monotypic.,,,I,,,
Cygnus buccinator,25,species,Trumpeter Swan,Cygne trompette,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus buccinator,Monotypic.,,,,,,
Cygnus columbianus,26,species,Tundra Swan,Cygne siffleur,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus columbianus,,,,,,,
Cygnus cygnus,27,species,Whooper Swan,Cygne chanteur,Anseriformes,Anatidae,Anserinae,Cygnus,Cygnus cygnus,Monotypic.,,,,,,
Sarkidiornis sylvicola,28,species,Comb Duck,Canard sylvicole,Anseriformes,Anatidae,Tadorninae,Sarkidiornis,Sarkidiornis sylvicola,Formerly considered conspecific with S. melanotos.,,,,,,
Neochen jubata,29,species,Orinoco Goose,Ouette de l'Orénoque,Anseriformes,Anatidae,Tadorninae,Neochen,Neochen jubata,Monotypic.,A,,,,,
Alopochen aegyptiaca,11241,species,Egyptian Goose,Ouette d'Égypte,Anseriformes,Anatidae,Tadorninae,Alopochen,Alopochen aegyptiaca,,,,I,,,
Tadorna tadorna,13191,species,Common Shelduck,Tadorne de Belon,Anseriformes,Anatidae,Tadorninae,Tadorna,Tadorna tadorna,,A,,,,,
Tadorna ferruginea,12291,species,Ruddy Shelduck,Tadorne casarca,Anseriformes,Anatidae,Tadorninae,Tadorna,Tadorna ferruginea,,A,,,,,
Cairina moschata,30,species,Muscovy Duck,Canard musqué,Anseriformes,Anatidae,Anatinae,Cairina,Cairina moschata,Monotypic.,,,,,,
