AC_ID,name1,name2,name3,complete_name,rank,parent_tsn,tsn,common
Bazzania pearsonii,Bazzania,pearsonii,None,Bazzania pearsonii,220,14359,14363,Pearson's bazzania
Bazzania trilobata,Bazzania,trilobata,None,Bazzania trilobata,220,14359,14366,threelobed bazzania
Calypogeja muelleriana,Calypogeja,muelleriana,None,Calypogeja muelleriana,220,0,14387,Müller's calypogeja
Calypogeja neesiana,Calypogeja,neesiana,None,Calypogeja neesiana,220,0,14390,Nees' calypogeja
Calypogeja peruviana,Calypogeja,peruviana,None,Calypogeja peruviana,220,0,14391,Peruvian calypogeja
Calypogeja sphagnicola,Calypogeja,sphagnicola,None,Calypogeja sphagnicola,220,0,14393,sphagnum calypogeja
Calypogeja sullivantii,Calypogeja,sullivantii,None,Calypogeja sullivantii,220,0,14396,Sullivant's calypogeja
Anthelia juratzkana,Anthelia,juratzkana,None,Anthelia juratzkana,220,14407,14410,Juratzka's anthelia
Cephalozia bicuspidata,Cephalozia,bicuspidata,None,Cephalozia bicuspidata,220,14424,14426,twotoothed cephalozia
Cephalozia loitlesbergeri,Cephalozia,loitlesbergeri,None,Cephalozia loitlesbergeri,220,0,14442,Loitlesberger's cephalozia
Cephalozia macounii,Cephalozia,macounii,None,Cephalozia macounii,220,14424,14445,Macoun's cephalozia
Barbilophozia atlantica,Barbilophozia,atlantica,None,Barbilophozia atlantica,220,0,14697,Atlantic barbilophozia
Orthocaulis atlanticus,Orthocaulis,atlanticus,None,Orthocaulis atlanticus,220,1107825,14699,Atlantic barbilophozia
Barbilophozia attenuata,Barbilophozia,attenuata,None,Barbilophozia attenuata,220,0,14700,attenuate barbilophozia
Barbilophozia binsteadii,Barbilophozia,binsteadii,None,Barbilophozia binsteadii,220,0,14708,Binstead's barbilophozia
Barbilophozia floerkei,Barbilophozia,floerkei,None,Barbilophozia floerkei,220,0,14713,Floerke's barbilophozia
Barbilophozia hatcheri,Barbilophozia,hatcheri,None,Barbilophozia hatcheri,220,1107919,14716,Hatcher's barbilophozia
Barbilophozia kunzeana,Barbilophozia,kunzeana,None,Barbilophozia kunzeana,220,0,14722,Kunze's barbilophozia
Barbilophozia quadriloba,Barbilophozia,quadriloba,None,Barbilophozia quadriloba,220,0,14727,fourlobe barbilophozia
Anastrophyllum helleranum,Anastrophyllum,helleranum,None,Anastrophyllum helleranum,220,0,14848,Heller's anastrophyllum
Anastrophyllum hellerianum,Anastrophyllum,hellerianum,None,Anastrophyllum hellerianum,220,0,14849,Heller's anastrophyllum
Anastrophyllum michauxii,Anastrophyllum,michauxii,None,Anastrophyllum michauxii,220,14843,14854,Michaux's anastrophyllum
Brachiolejeunea bahamensis,Brachiolejeunea,bahamensis,None,Brachiolejeunea bahamensis,220,0,15245,Bahama brachiolejeunea
Caudalejeunea lehmanniana,Caudalejeunea,lehmanniana,None,Caudalejeunea lehmanniana,220,15252,15253,Lehmann's caudelejeunea
Asterella bolanderi,Asterella,bolanderi,None,Asterella bolanderi,220,15543,15544,Bolander's asterella
