County,SpeciesName,SpeciesCode,SpeciesCategory,SpeciesType,SpeciesGraphUrl,Link,Phenology,BreedAbundance,MigAbundance,WinterAbundance,YearAbundance,WeeksDetected,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53
Alamance,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-001&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-001&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,5,4,4,4,4,4,4,4,4,3,3,3,2,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alexander,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-003&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-003&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,unlikely,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,5,4,4,6,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Alleghany,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-005&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-005&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,5,6,6,5,5,5,5,4,3,5,3,5,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Anson,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-007&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-007&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,22,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,7,8,8,8,7,7,8,7,8,7,8,5,4,7,7,5,6,5,0,5,0,0,3,0,0,0,0,0,0,0,0,0,,,,,
Ashe,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-009&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-009&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,4,5,5,5,5,5,5,5,4,5,4,3,3,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Avery,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-011&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-011&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Beaufort,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-013&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-013&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,5,5,5,5,5,4,5,5,4,4,3,4,4,3,3,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bertie,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-015&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-015&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,6,8,5,8,7,6,6,6,5,5,5,4,5,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Bladen,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-017&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-017&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,6,7,7,5,6,6,8,7,6,7,7,6,6,7,8,6,8,5,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Brunswick,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-019&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-019&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,possible,unlikely,possible,21,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,4,3,2,3,3,3,2,2,2,2,2,2,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Buncombe,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-021&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-021&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,3,2,3,3,2,1,0,0,0,0,0,0,0,0,0,0,,,,,
Burke,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-023&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-023&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,5,5,4,5,5,6,5,4,4,3,0,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Cabarrus,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-025&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-025&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,4,3,3,3,3,3,0,0,3,3,3,2,2,3,3,3,3,2,2,0,0,2,0,0,0,0,0,0,0,0,,,,,
Caldwell,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-027&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-027&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,5,4,3,3,4,5,5,0,3,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Camden,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-029&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-029&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,possible,unlikely,possible,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,5,5,7,6,7,4,5,4,5,5,5,5,4,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,,,,,
Carteret,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-031&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-031&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,unlikely,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,3,3,3,3,2,3,3,1,2,2,1,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Caswell,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-033&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-033&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,likely,unlikely,unlikely,possible,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,5,6,7,5,5,4,5,5,5,5,5,0,3,4,5,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Catawba,Acadian Flycatcher,acafly,species,native,https://ebird.org/barchart?r=US-NC-035&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,https://ebird.org/barchart?r=US-NC-035&bmo=1&emo=12&byr=1900&eyr=2023&spp=acafly,Breeding,possible,unlikely,unlikely,possible,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,4,3,4,4,4,4,3,1,3,0,3,0,3,3,2,2,0,3,0,0,0,0,0,0,0,0,0,0,,,,,
