COMMON_NAME,BREEDING_CODE,SUITABILITY_TEXT,SUITABILITY
Coopers Hawk,F,S,0
Coopers Hawk,H,,0
Coopers Hawk,S,U,2
Coopers Hawk,A,,0
Coopers Hawk,B,U,2
Coopers Hawk,C,,0
Coopers Hawk,M,,0
Coopers Hawk,N,,0
Coopers Hawk,P,,0
Coopers Hawk,S7,U,2
Coopers Hawk,T,,0
Coopers Hawk,CF,F,1
Coopers Hawk,CN,,0
Coopers Hawk,DD,,0
Coopers Hawk,FL,,0
Coopers Hawk,FS,,0
Coopers Hawk,FY,,0
Coopers Hawk,NB,,0
Coopers Hawk,NE,,0
Coopers Hawk,NY,,0
Coopers Hawk,ON,,0
Coopers Hawk,PE,,0
Coopers Hawk,UN,,0
Sharp-shinned Hawk,F,S,0
Sharp-shinned Hawk,H,,0
Sharp-shinned Hawk,S,U,2
Sharp-shinned Hawk,A,,0
Sharp-shinned Hawk,B,U,2
Sharp-shinned Hawk,C,,0
Sharp-shinned Hawk,M,,0
Sharp-shinned Hawk,N,,0
Sharp-shinned Hawk,P,,0
Sharp-shinned Hawk,S7,U,2
Sharp-shinned Hawk,T,,0
Sharp-shinned Hawk,CF,F,1
Sharp-shinned Hawk,CN,,0
Sharp-shinned Hawk,DD,,0
Sharp-shinned Hawk,FL,,0
Sharp-shinned Hawk,FS,,0
Sharp-shinned Hawk,FY,,0
Sharp-shinned Hawk,NB,,0
Sharp-shinned Hawk,NE,,0
Sharp-shinned Hawk,NY,,0
Sharp-shinned Hawk,ON,,0
Sharp-shinned Hawk,PE,,0
Sharp-shinned Hawk,UN,,0
Red-tailed Hawk,F,S,0
Red-tailed Hawk,H,,0
Red-tailed Hawk,S,U,2
Red-tailed Hawk,A,,0
Red-tailed Hawk,B,U,2
Red-tailed Hawk,C,,0
Red-tailed Hawk,M,,0
Red-tailed Hawk,N,,0
Red-tailed Hawk,P,,0
Red-tailed Hawk,S7,U,2
Red-tailed Hawk,T,,0
Red-tailed Hawk,CF,F,1
Red-tailed Hawk,CN,,0
Red-tailed Hawk,DD,,0
Red-tailed Hawk,FL,,0
Red-tailed Hawk,FS,,0
Red-tailed Hawk,FY,,0
Red-tailed Hawk,NB,,0
Red-tailed Hawk,NE,,0
Red-tailed Hawk,NY,,0
Red-tailed Hawk,ON,,0
Red-tailed Hawk,PE,,0
Red-tailed Hawk,UN,,0
Red-shouldered Hawk,F,S,0
Red-shouldered Hawk,H,,0
Red-shouldered Hawk,S,U,2
Red-shouldered Hawk,A,,0
Red-shouldered Hawk,B,U,2
Red-shouldered Hawk,C,,0
Red-shouldered Hawk,M,,0
Red-shouldered Hawk,N,,0
Red-shouldered Hawk,P,,0
Red-shouldered Hawk,S7,U,2
Red-shouldered Hawk,T,,0
Red-shouldered Hawk,CF,F,1
Red-shouldered Hawk,CN,,0
Red-shouldered Hawk,DD,,0
Red-shouldered Hawk,FL,,0
Red-shouldered Hawk,FS,,0
Red-shouldered Hawk,FY,,0
Red-shouldered Hawk,NB,,0
Red-shouldered Hawk,NE,,0
Red-shouldered Hawk,NY,,0
Red-shouldered Hawk,ON,,0
Red-shouldered Hawk,PE,,0
Red-shouldered Hawk,UN,,0
Broad-winged Hawk,F,S,0
Broad-winged Hawk,H,,0
Broad-winged Hawk,S,U,2
Broad-winged Hawk,A,,0
Broad-winged Hawk,B,U,2
Broad-winged Hawk,C,,0
Broad-winged Hawk,M,,0
Broad-winged Hawk,N,,0
Broad-winged Hawk,P,,0
Broad-winged Hawk,S7,U,2
Broad-winged Hawk,T,,0
Broad-winged Hawk,CF,F,1
Broad-winged Hawk,CN,,0
Broad-winged Hawk,DD,,0
Broad-winged Hawk,FL,,0
Broad-winged Hawk,FS,,0
Broad-winged Hawk,FY,,0
Broad-winged Hawk,NB,,0
Broad-winged Hawk,NE,,0
Broad-winged Hawk,NY,,0
Broad-winged Hawk,ON,,0
Broad-winged Hawk,PE,,0
Broad-winged Hawk,UN,,0
Northern Harrier,F,S,0
Northern Harrier,H,,0
Northern Harrier,S,U,2
Northern Harrier,A,,0
Northern Harrier,B,U,2
Northern Harrier,C,,0
Northern Harrier,M,,0
Northern Harrier,N,,0
Northern Harrier,P,,0
Northern Harrier,S7,U,2
Northern Harrier,T,,0
Northern Harrier,CF,F,1
Northern Harrier,CN,,0
Northern Harrier,DD,,0
Northern Harrier,FL,,0
Northern Harrier,FS,,0
Northern Harrier,FY,,0
Northern Harrier,NB,,0
Northern Harrier,NE,,0
Northern Harrier,NY,,0
Northern Harrier,ON,,0
Northern Harrier,PE,,0
Northern Harrier,UN,,0
Swallow-tailed Kite,F,S,0
Swallow-tailed Kite,H,,0
Swallow-tailed Kite,S,U,2
Swallow-tailed Kite,A,,0
Swallow-tailed Kite,B,U,2
Swallow-tailed Kite,C,,0
Swallow-tailed Kite,M,,0
Swallow-tailed Kite,N,,0
Swallow-tailed Kite,P,,0
Swallow-tailed Kite,S7,U,2
Swallow-tailed Kite,T,,0
Swallow-tailed Kite,CF,F,1
Swallow-tailed Kite,CN,,0
Swallow-tailed Kite,DD,,0
Swallow-tailed Kite,FL,,0
Swallow-tailed Kite,FS,,0
Swallow-tailed Kite,FY,,0
Swallow-tailed Kite,NB,,0
Swallow-tailed Kite,NE,,0
Swallow-tailed Kite,NY,,0
Swallow-tailed Kite,ON,,0
Swallow-tailed Kite,PE,,0
Swallow-tailed Kite,UN,,0
Bald Eagle,F,S,0
Bald Eagle,H,,0
Bald Eagle,S,U,2
Bald Eagle,A,,0
Bald Eagle,B,U,2
Bald Eagle,C,,0
Bald Eagle,M,,0
Bald Eagle,N,,0
Bald Eagle,P,,0
Bald Eagle,S7,U,2
Bald Eagle,T,,0
Bald Eagle,CF,F,1
Bald Eagle,CN,,0
Bald Eagle,DD,,0
Bald Eagle,FL,,0
Bald Eagle,FS,,0
Bald Eagle,FY,,0
Bald Eagle,NB,,0
Bald Eagle,NE,,0
Bald Eagle,NY,,0
Bald Eagle,ON,,0
Bald Eagle,PE,,0
Bald Eagle,UN,,0
Mississippi Kite,F,S,0
Mississippi Kite,H,,0
Mississippi Kite,S,U,2
Mississippi Kite,A,,0
Mississippi Kite,B,U,2
Mississippi Kite,C,,0
Mississippi Kite,M,,0
Mississippi Kite,N,,0
Mississippi Kite,P,,0
Mississippi Kite,S7,U,2
Mississippi Kite,T,,0
Mississippi Kite,CF,F,1
Mississippi Kite,CN,,0
Mississippi Kite,DD,,0
Mississippi Kite,FL,,0
Mississippi Kite,FS,,0
Mississippi Kite,FY,,0
Mississippi Kite,NB,,0
Mississippi Kite,NE,,0
Mississippi Kite,NY,,0
Mississippi Kite,ON,,0
Mississippi Kite,PE,,0
Mississippi Kite,UN,,0
Osprey,F,S,0
Osprey,H,,0
Osprey,S,U,2
Osprey,A,,0
Osprey,B,U,2
Osprey,C,,0
Osprey,M,,0
Osprey,N,,0
Osprey,P,,0
Osprey,S7,U,2
Osprey,T,,0
Osprey,CF,F,1
Osprey,CN,,0
Osprey,DD,,0
Osprey,FL,,0
Osprey,FS,,0
Osprey,FY,,0
Osprey,NB,,0
Osprey,NE,,0
Osprey,NY,,0
Osprey,ON,,0
Osprey,PE,,0
Osprey,UN,,0
Wood Duck,F,,0
Wood Duck,H,,0
Wood Duck,S,U,2
Wood Duck,A,,0
Wood Duck,B,U,2
Wood Duck,C,,0
Wood Duck,M,,0
Wood Duck,N,,0
Wood Duck,P,,0
Wood Duck,S7,U,2
Wood Duck,T,,0
Wood Duck,CF,U,2
Wood Duck,CN,,0
Wood Duck,DD,,0
Wood Duck,FL,,0
Wood Duck,FS,,0
Wood Duck,FY,,0
Wood Duck,NB,,0
Wood Duck,NE,,0
Wood Duck,NY,,0
Wood Duck,ON,,0
Wood Duck,PE,,0
Wood Duck,UN,,0
American Black Duck,F,,0
American Black Duck,H,,0
American Black Duck,S,U,2
American Black Duck,A,,0
American Black Duck,B,U,2
American Black Duck,C,,0
American Black Duck,M,,0
American Black Duck,N,,0
American Black Duck,P,,0
American Black Duck,S7,U,2
American Black Duck,T,,0
American Black Duck,CF,U,2
American Black Duck,CN,,0
American Black Duck,DD,,0
American Black Duck,FL,,0
American Black Duck,FS,,0
American Black Duck,FY,,0
American Black Duck,NB,,0
American Black Duck,NE,,0
American Black Duck,NY,,0
American Black Duck,ON,,0
American Black Duck,PE,,0
American Black Duck,UN,,0
Canada Goose,F,,0
Canada Goose,H,,0
Canada Goose,S,U,2
Canada Goose,A,,0
Canada Goose,B,U,2
Canada Goose,C,,0
Canada Goose,M,,0
Canada Goose,N,,0
Canada Goose,P,,0
Canada Goose,S7,U,2
Canada Goose,T,,0
Canada Goose,CF,U,2
Canada Goose,CN,,0
Canada Goose,DD,,0
Canada Goose,FL,,0
Canada Goose,FS,,0
Canada Goose,FY,,0
Canada Goose,NB,,0
Canada Goose,NE,,0
Canada Goose,NY,,0
Canada Goose,ON,,0
Canada Goose,PE,,0
Canada Goose,UN,,0
Hooded Merganser,F,,0
Hooded Merganser,H,,0
Hooded Merganser,S,U,2
Hooded Merganser,A,,0
Hooded Merganser,B,U,2
Hooded Merganser,C,,0
Hooded Merganser,M,,0
Hooded Merganser,N,,0
Hooded Merganser,P,,0
Hooded Merganser,S7,U,2
Hooded Merganser,T,,0
Hooded Merganser,CF,U,2
Hooded Merganser,CN,,0
Hooded Merganser,DD,,0
Hooded Merganser,FL,,0
Hooded Merganser,FS,,0
Hooded Merganser,FY,,0
Hooded Merganser,NB,,0
Hooded Merganser,NE,,0
Hooded Merganser,NY,,0
Hooded Merganser,ON,,0
Hooded Merganser,PE,,0
Hooded Merganser,UN,,0
Gadwall,F,,0
Gadwall,H,,0
Gadwall,S,U,2
Gadwall,A,,0
Gadwall,B,U,2
Gadwall,C,,0
Gadwall,M,,0
Gadwall,N,,0
Gadwall,P,,0
Gadwall,S7,U,2
Gadwall,T,,0
Gadwall,CF,U,2
Gadwall,CN,,0
Gadwall,DD,,0
Gadwall,FL,,0
Gadwall,FS,,0
Gadwall,FY,,0
Gadwall,NB,,0
Gadwall,NE,,0
Gadwall,NY,,0
Gadwall,ON,,0
Gadwall,PE,,0
Gadwall,UN,,0
Chimney Swift,F,S,0
Chimney Swift,H,,0
Chimney Swift,S,,0
Chimney Swift,A,,0
Chimney Swift,B,U,2
Chimney Swift,C,,0
Chimney Swift,M,,0
Chimney Swift,N,,0
Chimney Swift,P,,0
Chimney Swift,S7,,0
Chimney Swift,T,,0
Chimney Swift,CF,,0
Chimney Swift,CN,,0
Chimney Swift,DD,,0
Chimney Swift,FL,,0
Chimney Swift,FS,,0
Chimney Swift,FY,,0
Chimney Swift,NB,,0
Chimney Swift,NE,,0
Chimney Swift,NY,,0
Chimney Swift,ON,,0
Chimney Swift,PE,,0
Chimney Swift,UN,,0
Ruby-throated Hummingbird,F,S,0
Ruby-throated Hummingbird,H,,0
Ruby-throated Hummingbird,S,,0
Ruby-throated Hummingbird,A,,0
Ruby-throated Hummingbird,B,U,2
Ruby-throated Hummingbird,C,,0
Ruby-throated Hummingbird,M,,0
Ruby-throated Hummingbird,N,,0
Ruby-throated Hummingbird,P,,0
Ruby-throated Hummingbird,S7,,0
Ruby-throated Hummingbird,T,,0
Ruby-throated Hummingbird,CF,,0
Ruby-throated Hummingbird,CN,,0
Ruby-throated Hummingbird,DD,,0
Ruby-throated Hummingbird,FL,,0
Ruby-throated Hummingbird,FS,,0
Ruby-throated Hummingbird,FY,,0
Ruby-throated Hummingbird,NB,,0
Ruby-throated Hummingbird,NE,,0
Ruby-throated Hummingbird,NY,,0
Ruby-throated Hummingbird,ON,,0
Ruby-throated Hummingbird,PE,,0
Ruby-throated Hummingbird,UN,,0
Chuck-wills-widow,F,,0
Chuck-wills-widow,H,,0
Chuck-wills-widow,S,,0
Chuck-wills-widow,A,,0
Chuck-wills-widow,B,U,2
Chuck-wills-widow,C,,0
Chuck-wills-widow,M,,0
Chuck-wills-widow,N,,0
Chuck-wills-widow,P,,0
Chuck-wills-widow,S7,,0
Chuck-wills-widow,T,,0
Chuck-wills-widow,CF,,0
Chuck-wills-widow,CN,,0
Chuck-wills-widow,DD,,0
Chuck-wills-widow,FL,,0
Chuck-wills-widow,FS,,0
Chuck-wills-widow,FY,,0
Chuck-wills-widow,NB,,0
Chuck-wills-widow,NE,,0
Chuck-wills-widow,NY,,0
Chuck-wills-widow,ON,,0
Chuck-wills-widow,PE,,0
Chuck-wills-widow,UN,,0
Eastern Whip-poor-will,F,,0
Eastern Whip-poor-will,H,,0
Eastern Whip-poor-will,S,,0
Eastern Whip-poor-will,A,,0
Eastern Whip-poor-will,B,U,2
Eastern Whip-poor-will,C,,0
Eastern Whip-poor-will,M,,0
Eastern Whip-poor-will,N,,0
Eastern Whip-poor-will,P,,0
Eastern Whip-poor-will,S7,,0
Eastern Whip-poor-will,T,,0
Eastern Whip-poor-will,CF,,0
Eastern Whip-poor-will,CN,,0
Eastern Whip-poor-will,DD,,0
Eastern Whip-poor-will,FL,,0
Eastern Whip-poor-will,FS,,0
Eastern Whip-poor-will,FY,,0
Eastern Whip-poor-will,NB,,0
Eastern Whip-poor-will,NE,,0
Eastern Whip-poor-will,NY,,0
Eastern Whip-poor-will,ON,,0
Eastern Whip-poor-will,PE,,0
Eastern Whip-poor-will,UN,,0
Common Nighthawk,F,,0
Common Nighthawk,H,,0
Common Nighthawk,S,,0
Common Nighthawk,A,,0
Common Nighthawk,B,U,2
Common Nighthawk,C,,0
Common Nighthawk,M,,0
Common Nighthawk,N,,0
Common Nighthawk,P,,0
Common Nighthawk,S7,,0
Common Nighthawk,T,,0
Common Nighthawk,CF,,0
Common Nighthawk,CN,,0
Common Nighthawk,DD,,0
Common Nighthawk,FL,,0
Common Nighthawk,FS,,0
Common Nighthawk,FY,,0
Common Nighthawk,NB,,0
Common Nighthawk,NE,,0
Common Nighthawk,NY,,0
Common Nighthawk,ON,,0
Common Nighthawk,PE,,0
